,unique-id,text,aggresssion-level,preprocess,flesch_reading_ease,flesch_kincaid_grade_level,syllables,words,characters,class
838,sme_839,rt @anahitairani1: enjoying my saturday with #indvsuae match and tweeting to #celkoncheers4india @celkonmobile .the admin is very encouragi…,NAG,rt : enjoying my saturday with #indvsuae match and tweeting to #celkoncheers4india  .the admin is very encouragi…,24.06,14.37,35,18,140,2
839,sme_840,"#indvspak mcenroe vs connors, jordan vs johnson, coke vs pepsi, brazil vs argentina, patriots vs packers, bmw vs audi, india vs pakistan.",NAG,"#indvspak mcenroe vs connors, jordan vs johnson, coke vs pepsi, brazil vs argentina, patriots vs packers, bmw vs audi, india vs pakistan.",38.38,13.37,38,22,137,2
840,sme_841,koi score tho bataoooooo #iccworldcup2015 #indvsuae,NAG,koi score tho bataoooooo #iccworldcup2015 #indvsuae,31.55,10.35,12,6,51,2
841,sme_842,#ShutDownJNU and save the country from anarchists. https:// twitter.com/Humtumandfun/s tatus/786464139019333636 …,CAG,#shutdownjnu and save the country from anarchists. https:// twitter.com/humtumandfun/s tatus/786464139019333636 …,34.16,11.23,21,11,113,0
842,sme_843,dhoni - meri to batting hi nahi ayegi 😭😭😭😭😭😭😭😭😭😭 #indvsuae,CAG,dhoni - meri to batting hi nahi ayegi 😭😭😭😭😭😭😭😭😭😭 #indvsuae,56.7,7.59,15,9,58,0
843,sme_844,is it FoE and FoS? @BDUTT @sardesairajdeep @sagarikaghose @RanaAyyub speak up now! Hypocrites! #shame #ShutDownJNU,CAG,is it foe and fos?     speak up now! hypocrites! #shame #shutdownjnu,73.17,6.78,21,15,114,0
844,sme_845,#ShutDownJNU how a proud Indian could protest agaist hanging of terror Afzl guru? #shameJNU Welldone #abvp 4act agnst this antinationl act.,OAG,#shutdownjnu how a proud indian could protest agaist hanging of terror afzl guru? #shamejnu welldone #abvp 4act agnst this antinationl act.,48.55,11.7,34,21,139,1
845,sme_846,#ShutDownJNU don't be surprised if umar Khalid leaves India isis dies in a blast and candle March is held in jnu as shaheed umar khalid,OAG,#shutdownjnu don't be surprised if umar khalid leaves india isis dies in a blast and candle march is held in jnu as shaheed umar khalid,76.56,8.79,31,25,135,1
846,sme_847,so misbah is next?!.. or akmal?. #cwc15 #indvspak,NAG,so misbah is next?!.. or akmal?. #cwc15 #indvspak,61.24,6.71,13,8,49,2
847,sme_848,me chala fc road #pune #indvspak #indwins,NAG,me chala fc road #pune #indvspak #indwins,42.62,9.05,13,7,41,2
848,sme_849,no public #indvspak match screening? kya chutiyapa hi delhi.,NAG,no public #indvspak match screening? kya chutiyapa hi delhi.,47.3,8.9,16,9,60,2
849,sme_850,playing xi for tomorrow's game #indvspak rohit dhawan kohli rahane raina msd(c/wk) jadeja r ashwin bhuvi umesh shami,NAG,playing xi for tomorrow's game #indvspak rohit dhawan kohli rahane raina msd(c/wk) jadeja r ashwin bhuvi umesh shami,38.17,12.41,32,18,116,2
850,sme_851,#ShutDownJNU .JNU needs instant purge and emergent radical surgery.it has became a place of treachers.,CAG,#shutdownjnu .jnu needs instant purge and emergent radical surgery.it has became a place of treachers.,56.25,9.14,24,15,102,0
851,sme_852,weldon india legendary performance..by india.. kohli rock pak pak ki bati gul.again pak is flash down. #indvspak,NAG,weldon india legendary performance..by india.. kohli rock pak pak ki bati gul.again pak is flash down. #indvspak,45.26,11.17,29,17,112,2
852,sme_853,#HCU was same. Luckily @ABVPVoice has proof this time. No diff in what happened in HCU & #JNU #ShutDownJNU https:// twitter.com/waglenikhil/st atus/697486516155764736 …,CAG,#hcu was same. luckily  has proof this time. no diff in what happened in hcu & #jnu #shutdownjnu https:// twitter.com/waglenikhil/st atus/697486516155764736 …,61.45,10.15,32,22,168,0
853,sme_854,(a)mjad out-4 (b)erenger out-4 (c)handaran out-4 #indvsuae,NAG,(a)mjad out-4 (b)erenger out-4 (c)handaran out-4 #indvsuae,54.7,7.37,12,7,58,2
854,sme_855,virat ki upcoming century par meri happiness ki kasam @thekaranpatel! ek tweet kardo :o xp #cwc15 #indvspak,NAG,virat ki upcoming century par meri happiness ki kasam ! ek tweet kardo :o xp #cwc15 #indvspak,40.29,11.86,30,17,107,2
855,sme_856,Because they deserve it #ShutDownJNU,CAG,because they deserve it #shutdownjnu,49.48,7.6,9,5,36,0
856,sme_857,These stupid who were suppeting Afzal shuld be punished like traitors #ShutDownJNU,OAG,these stupid who were suppeting afzal shuld be punished like traitors #shutdownjnu,74.81,5.81,17,12,82,1
857,sme_858,Instead of sending terrorist from Pak Hfz Sayed should organize campus recruitment in JNU. He'll get skilled labor #MakeInIndia #ShutDownJNU,CAG,instead of sending terrorist from pak hfz sayed should organize campus recruitment in jnu. he'll get skilled labor #makeinindia #shutdownjnu,46.95,11.68,33,20,140,0
858,sme_859,"#ShutDownJNU they are dalit, surviving on quota and has problems with India.. They think they are owner of India.",OAG,"#shutdownjnu they are dalit, surviving on quota and has problems with india.. they think they are owner of india.",62.88,9.21,28,19,113,1
859,sme_860,why #ShutDownJNU not showing in suggestions? is Twitter run by some liberal?,CAG,why #shutdownjnu not showing in suggestions? is twitter run by some liberal?,53.66,8.76,20,12,76,0
860,sme_861,if pakistan wins today... hahahahahaha lol lol rofl hahahahahaha rofl :d :d hahahahahaha oooh man #indvspak #indwins,NAG,if pakistan wins today... hahahahahaha lol lol rofl hahahahahaha rofl :d :d hahahahahaha oooh man #indvspak #indwins,-4.5,18.11,39,17,116,2
861,sme_862,#chaloniklowicket #chaloniklowicket @olacabs india india india india india india india shout for india #indvsuae lets make it trending guys!,NAG,#chaloniklowicket #chaloniklowicket  india india india india india india india shout for india #indvsuae lets make it trending guys!,27.26,14.18,36,19,140,2
862,sme_863,@dna We all saw terrorist in making by leftist at #ShutDownJNU and @INCIndia is shaking hand with these anti nationals? #BeatTMCAlone,OAG, we all saw terrorist in making by leftist at #shutdownjnu and  is shaking hand with these anti nationals? #beattmcalone,48.55,11.7,34,21,133,1
863,sme_864,everyone was busy with the #ausvnz match....and we ppl dont the the winner of the toss in the #indvsuae match..!!,NAG,everyone was busy with the #ausvnz match....and we ppl dont the the winner of the toss in the #indvsuae match..!!,72.33,8.14,27,20,113,2
864,sme_865,"#ShutDownJNU : I hope n wish that @PMOIndia will take a note and act against them, Politics doesn't matter when it comes to Nationalism..",CAG,"#shutdownjnu : i hope n wish that  will take a note and act against them, politics doesn't matter when it comes to nationalism..",58.43,10.82,34,23,137,0
865,sme_866,"Rama Naga, JNUSU General Secretary being taken to AIIMS after his health deteriorated this evening. #StandWithJNU pic.twitter.com/B8dZa0tuhJ",NAG,"rama naga, jnusu general secretary being taken to aiims after his health deteriorated this evening. #standwithjnu pic.twitter.com/b8dza0tuhj",-4.5,18.11,39,17,140,2
866,sme_867,india to take on uae at #cwc15 today http://t.co/xkohpdali8 #indvsuae,NAG,india to take on uae at #cwc15 today  #indvsuae,35.95,10.73,19,10,69,2
867,sme_868,ye uae ki team lull hai. #indvsuae,CAG,ye uae ki team lull hai. #indvsuae,78.87,4.0,10,7,34,0
868,sme_869,ooooopzz dhawan's gone :o #indvsuae,NAG,ooooopzz dhawan's gone :o #indvsuae,66.4,5.24,8,5,35,2
869,sme_870,"forecast: hindustan zindabad hai, zindabad tha aur zindabad rahega and then dhoni uproots stump in sunny deol's style. #indvspak",NAG,"forecast: hindustan zindabad hai, zindabad tha aur zindabad rahega and then dhoni uproots stump in sunny deol's style. #indvspak",40.61,12.31,33,19,128,2
870,sme_871,virat saying to afridi silent hoja wrna me vilent ho jaunga.. #indvspak,NAG,virat saying to afridi silent hoja wrna me vilent ho jaunga.. #indvspak,39.56,10.72,22,12,71,2
871,sme_872,absolutely right....I agree.... . #ShutDownJNU,CAG,absolutely right....i agree.... . #shutdownjnu,-8.72,15.47,10,4,46,0
872,sme_873,malbarisss will be confused about who to support their home country or their actual home country .. #indvsuae,CAG,malbarisss will be confused about who to support their home country or their actual home country .. #indvsuae,50.24,10.48,28,17,109,0
873,sme_874,Viral is catchy so I sleep #ShutDownJNU,CAG,viral is catchy so i sleep #shutdownjnu,78.87,4.0,10,7,39,0
874,sme_875,Jnu students are not indians so lets #ShutDownJNU,OAG,jnu students are not indians so lets #shutdownjnu,61.24,6.71,13,8,49,1
875,sme_876,"rt @advancedmaushi: as per virat kohli that was a ""bhak teri maa ka bhos**"" catch #indvspak",NAG,"rt : as per virat kohli that was a ""bhak teri maa ka bhos**"" catch #indvspak",74.27,6.88,22,16,91,2
876,sme_877,"cricket pe has lo bc, tax toh tumhe hi bharna hai~ uae nris #indvsuae #unionbudget2015",OAG,"cricket pe has lo bc, tax toh tumhe hi bharna hai~ uae nris #indvsuae #unionbudget2015",67.53,7.57,22,15,86,1
877,sme_878,an easy win for india courtesy a clinical team show! we r looking solid n unstoppable yet.. 👍✌ have to continue this form! #indvsuae #cwc15,NAG,an easy win for india courtesy a clinical team show! we r looking solid n unstoppable yet.. 👍✌ have to continue this form! #indvsuae #cwc15,52.87,12.1,38,25,139,2
878,sme_879,fewest innings to 22 odi 100s 143 virat kohli 206 s tendulkar 220 s ganguly 261 r ponting 354 s jayasuriyak#cwc15 #indvspak #cwc2015 #cwc15,NAG,fewest innings to 22 odi 100s 143 virat kohli 206 s tendulkar 220 s ganguly 261 r ponting 354 s jayasuriyak#cwc15 #indvspak #cwc2015 #cwc15,66.15,10.0,33,24,139,2
879,sme_880,rt @the_ghatotkachh: uae batsmen are from iin. #indvsuae,CAG,rt : uae batsmen are from iin. #indvsuae,61.24,6.71,13,8,56,0
880,sme_881,patake olx pe bech de pakistan bhai. #indvspak,NAG,patake olx pe bech de pakistan bhai. #indvspak,71.82,5.23,12,8,46,2
881,sme_882,"rt @thatwimpyykid: dhoni:we keep our promise,sabko batting milegi. #indvsuae",CAG,"rt : dhoni:we keep our promise,sabko batting milegi. #indvsuae",37.9,10.21,17,9,76,0
882,sme_883,Fuck you leftists scums...anti nationals #ShutDownJNU,OAG,fuck you leftists scums...anti nationals #shutdownjnu,17.45,12.32,13,6,53,1
883,sme_884,"surprisingly ther is no binny in the side !! ""nakonchem tikkundi kani danikoo lekkundi""...suits for dhoni as well 😜 #indvspak #cwc15",NAG,"surprisingly ther is no binny in the side !! ""nakonchem tikkundi kani danikoo lekkundi""...suits for dhoni as well 😜 #indvspak #cwc15",63.87,9.32,29,20,132,2
884,sme_885,#indvsuae s jus for a formality :) kudos to #india in advance :) better do watch #ausvnz,NAG,#indvsuae s jus for a formality :) kudos to #india in advance :) better do watch #ausvnz,39.33,11.5,27,15,88,2
885,sme_886,sad day for us as some of our so called intellectuals from JNU are disrespecting our mother INDIA . #ShutDownJNU,CAG,sad day for us as some of our so called intellectuals from jnu are disrespecting our mother india . #shutdownjnu,49.52,11.07,31,19,112,0
886,sme_887,"Shame on umar, lenin and ishan #ShutDownJNU",CAG,"shame on umar, lenin and ishan #shutdownjnu",78.87,4.0,10,7,43,0
887,sme_888,do the birds know its world cup and not any practice match? #justasking #indvsuae,CAG,do the birds know its world cup and not any practice match? #justasking #indvsuae,71.77,6.73,20,14,81,0
888,sme_889,kya hoga un firecrakers ka jo pakistan m logo ne shiddat s kharidha tha😝 #indvspak,NAG,kya hoga un firecrakers ka jo pakistan m logo ne shiddat s kharidha tha😝 #indvspak,56.25,9.14,24,15,82,2
889,sme_890,JNU is becoming worse day by day. Time has come to #shutdownJNU . @PMOIndia @HRDMinistry,CAG,jnu is becoming worse day by day. time has come to #shutdownjnu .  ,59.68,8.41,22,14,88,0
890,sme_891,#StandWithJNU #FightBackJNU https:// twitter.com/Dipankar_cpiml /status/728856144014249984 …,OAG,#standwithjnu #fightbackjnu https:// twitter.com/dipankar_cpiml /status/728856144014249984 …,-10.75,16.25,15,6,92,1
891,sme_892,Identify each one of them n deport them to African jungle pls... Teach them the lesson of their life..!! #ShutDownJNU https:// twitter.com/YesIamSaffron/ status/786232391324934144 …,CAG,identify each one of them n deport them to african jungle pls... teach them the lesson of their life..!! #shutdownjnu https:// twitter.com/yesiamsaffron/ status/786232391324934144 …,52.05,11.96,37,24,181,0
892,sme_893,Gang of Anti-nationals #ShutdownJNU https:// twitter.com/devyanidilli/s tatus/697464484126822400 …,OAG,gang of anti-nationals #shutdownjnu https:// twitter.com/devyanidilli/s tatus/697464484126822400 …,8.37,14.08,18,8,98,1
893,sme_894,booyyaa!!! bring it on😎 #indvsuae #bleedblue,NAG,booyyaa!!! bring it on😎 #indvsuae #bleedblue,59.75,6.42,10,6,44,2
894,sme_895,india vs west indies - icc wc 2015 | #wontgiveitback | cwf: http://t.co/pwfwkhrphn #indvsuae,NAG,india vs west indies - icc wc 2015 | #wontgiveitback | cwf:  #indvsuae,18.78,13.37,23,11,92,2
895,sme_896,mr. manmohan and mr. gilani along with india's cricketers during #indvspak @icc cwc mohali. #yehapnagamehai http://t.co/9hy8nasyos,NAG,mr. manmohan and mr. gilani along with india's cricketers during #indvspak  cwc mohali. #yehapnagamehai ,31.97,12.78,30,16,130,2
896,sme_897,wast of our money #shutdownJNU IS ONLY THE OPTION https:// twitter.com/ShekharGokhale /status/790993894175412224 …,CAG,wast of our money #shutdownjnu is only the option https:// twitter.com/shekhargokhale /status/790993894175412224 …,50.47,9.45,22,13,114,0
897,sme_898,One of the cheap ways to threaten the Gov on religion to ensure that Gov takes no decisions which would create Religious Chaos #ShutDownJNU,CAG,one of the cheap ways to threaten the gov on religion to ensure that gov takes no decisions which would create religious chaos #shutdownjnu,59.1,10.98,35,24,139,0
898,sme_899,With these kinds of acts..we are just easing the job of ISIS! Though don't #ShutDownJNU but take necessary actions agnst this mishappening!,OAG,with these kinds of acts..we are just easing the job of isis! though don't #shutdownjnu but take necessary actions agnst this mishappening!,69.14,9.08,30,22,139,1
899,sme_900,abhi bhi 1 hundred k liye wait krna pdega misbah gone #indvspak,NAG,abhi bhi 1 hundred k liye wait krna pdega misbah gone #indvspak,53.66,8.76,20,12,63,2
900,sme_901,virat kohli's ratio per century - 6.8 matches per century #cwc15 #indvspak #crictracker,NAG,virat kohli's ratio per century - 6.8 matches per century #cwc15 #indvspak #crictracker,18.41,13.67,25,12,87,2
901,sme_902,"JNU=Jehadi Nurturing University.If such anti national slogans can b raised in Delhi, imagine the state of other places.shameful #ShutDownJNU",CAG,"jnu=jehadi nurturing university.if such anti national slogans can b raised in delhi, imagine the state of other places.shameful #shutdownjnu",22.8,14.8,37,19,140,0
902,sme_903,"@devyanidilli @madskak Freedom of expression cannot become a tool to organise anti national sovereignty"" movement. Bankrupt. #ShutDownJNU""",CAG,"  freedom of expression cannot become a tool to organise anti national sovereignty"" movement. bankrupt. #shutdownjnu""",10.43,16.03,36,17,138,0
903,sme_904,Day12: End the Media Blackout in JNU. #FightBackJNU #WeAreJNU #StandWithJNU @Shehla_Rashid @kanhaiyajnusu pic.twitter.com/LVCYMoZwSc,CAG,day12: end the media blackout in jnu. #fightbackjnu #wearejnu #standwithjnu   pic.twitter.com/lvcymozwsc,17.93,13.99,27,13,132,0
904,sme_905,hahaa @ranveerscafe69 rt @delrastogi: #indvsuae srk and ranveer singh are seen more than match. uae at 52 for 6 after 19.5overs.,CAG,hahaa  rt : #indvsuae srk and ranveer singh are seen more than match. uae at 52 for 6 after 19.5overs.,56.61,10.58,32,21,128,0
905,sme_906,#ShutDownJNU is not the solution of the problem! Why 1000s of students suffer. Bunch of people r anti nationalists not everyone in JNU,CAG,#shutdownjnu is not the solution of the problem! why 1000s of students suffer. bunch of people r anti nationalists not everyone in jnu,47.39,12.36,37,23,134,0
906,sme_907,Dear @smritiirani Take immediate action against all those JNU Jihadis who supports Afzal Guru and please #BanJNU #ShutDownJNU,OAG,dear  take immediate action against all those jnu jihadis who supports afzal guru and please #banjnu #shutdownjnu,42.87,11.75,31,18,125,1
907,sme_908,#ShutDownJNU : Parties supporting these traitors should be banned and supporters arrested for the act of sedition.,OAG,#shutdownjnu : parties supporting these traitors should be banned and supporters arrested for the act of sedition.,47.83,10.56,27,16,114,1
908,sme_909,#ShutDownJNU It supports Anti Nationals and Islamic terrorists,CAG,#shutdownjnu it supports anti nationals and islamic terrorists,8.37,14.08,18,8,62,0
909,sme_910,So it means British rulers were more liberal and confident abt der rule in dis country den dis independent country? (2/2) #ShutDownJNU,CAG,so it means british rulers were more liberal and confident abt der rule in dis country den dis independent country? (2/2) #shutdownjnu,57.61,10.69,33,22,134,0
910,sme_911,@starsportsindia @sportanalystcom @bhuviofficial bhuvi kumar should play if fit. #cwc15 #cwcfantasy #indvsuae,NAG,   bhuvi kumar should play if fit. #cwc15 #cwcfantasy #indvsuae,-9.79,17.61,29,12,109,2
911,sme_912,Mr.VC you can keep me out of JNU but never JNU out of me #standwithJNU #fightbackJNU,CAG,mr.vc you can keep me out of jnu but never jnu out of me #standwithjnu #fightbackjnu,79.56,6.14,21,16,84,0
912,sme_913,roflmax.@starsportsindia is just rocking.#indvsuae mouka mouka http://t.co/qadeihalfc,NAG,roflmax. is just rocking.#indvsuae mouka mouka ,-5.73,15.8,17,7,85,2
913,sme_914,that uae mauka ad is hilarious xd #mauka #indvsuae #cwc15,NAG,that uae mauka ad is hilarious xd #mauka #indvsuae #cwc15,44.41,9.55,18,10,57,2
914,sme_915,"Not seen single tweet of Aaptards and Cong by asking strong action agnt Antinationals, r they sold themselves to votebank? #ShutDownJNU",OAG,"not seen single tweet of aaptards and cong by asking strong action agnt antinationals, r they sold themselves to votebank? #shutdownjnu",52.58,11.14,33,21,135,1
915,sme_916,yeh batting hai thakur! ball de de mujhe! #indvspak,NAG,yeh batting hai thakur! ball de de mujhe! #indvspak,66.1,6.28,14,9,51,2
916,sme_917,hahaha kapil dev. simply shut manjrekar up. #indvspak,NAG,hahaha kapil dev. simply shut manjrekar up. #indvspak,40.09,9.66,15,8,53,2
917,sme_918,#Bharathkebharbadi ...all these ppl who shouts this shud be booked under terrorist act and hang them like their #Guru #ShutDownJNU,CAG,#bharathkebharbadi ...all these ppl who shouts this shud be booked under terrorist act and hang them like their #guru #shutdownjnu,63.87,9.32,29,20,130,0
918,sme_919,#indvsuae uae ka india ko jeet k lye 103 runs ka target + #ausvnz new zealand ne australia ko 1 wicket se shikast de di #worldcup2015 #cwc15,NAG,#indvsuae uae ka india ko jeet k lye 103 runs ka target + #ausvnz new zealand ne australia ko 1 wicket se shikast de di #worldcup2015 #cwc15,63.31,10.89,36,26,140,2
919,sme_920,#ShutDownJNU wht these guys r doing is shockng...whr r v heading...,CAG,#shutdownjnu wht these guys r doing is shockng...whr r v heading...,64.92,6.94,17,11,67,0
920,sme_921,They are shouting ANTI NATIONAL slogans and you ASS HOLES call it FREEDOM OF SPEECH !! #ShutDownJNU pic.twitter.com/kEd69HQUae,OAG,they are shouting anti national slogans and you ass holes call it freedom of speech !! #shutdownjnu pic.twitter.com/ked69hquae,50.24,10.48,28,17,126,1
921,sme_922,pakistan ka don bread man out ::p #indvspak,NAG,pakistan ka don bread man out ::p #indvspak,71.82,5.23,12,8,43,2
922,sme_923,What Are Vice Chancellors Made Of? http:// lsh.re/1285Z #JNU #StandWithJNU #HCU #WeAreJNU #India #Education #SeditionRow #JNURow,CAG,what are vice chancellors made of? http:// lsh.re/1285z #jnu #standwithjnu #hcu #wearejnu #india #education #seditionrow #jnurow,47.83,10.56,27,16,128,0
923,sme_924,"didn't get to live tweet during #indvsuae due to college. but luckily i have a holiday on #ind vs #wi , which means i can live tweet! #cwc15",NAG,"didn't get to live tweet during #indvsuae due to college. but luckily i have a holiday on #ind vs #wi , which means i can live tweet! #cwc15",60.36,11.55,38,27,140,2
924,sme_925,not much excited about #indvsuae. . . only excitement is to watch the new @starsportsindia ad. @icc #cwc15,NAG,not much excited about #indvsuae. . . only excitement is to watch the new  ad.  #cwc15,42.55,11.3,28,16,106,2
925,sme_926,rt @hathwalathakur: just in: arun lal is more disappointed as he didn't get much time for commentary than the uae team's poor performance. …,CAG,rt : just in: arun lal is more disappointed as he didn't get much time for commentary than the uae team's poor performance. …,66.15,10.0,33,24,140,0
926,sme_927,india 19/0 after 5 overs. #indvsuae dhawan getting into groove. http://t.co/6xjho8cvcx,NAG,india 19/0 after 5 overs. #indvsuae dhawan getting into groove. ,49.54,9.08,19,11,86,2
927,sme_928,guys match ku ready ya #indvsuae inaiku summa kele kele kele󾔗,NAG,guys match ku ready ya #indvsuae inaiku summa kele kele kele󾔗,72.62,5.86,16,11,61,2
928,sme_929,This is how Politics and women who file False cases of sexual harassment breed together at #JNU . #ShutDownJNU pic.twitter.com/MFGWiUM2BW,CAG,this is how politics and women who file false cases of sexual harassment breed together at #jnu . #shutdownjnu pic.twitter.com/mfgwium2bw,27.26,14.18,36,19,137,0
929,sme_930,It's a battle for all of us: Two nights with the JNU hunger strikers at Freedom Square http:// scroll.in/article/807793 /its-a-battle-for-all-of-us-two-nights-with-the-jnu-hunger-strikers-at-freedom-square … via @scroll_in #StandWithJNU,CAG,it's a battle for all of us: two nights with the jnu hunger strikers at freedom square http:// scroll.in/article/807793 /its-a-battle-for-all-of-us-two-nights-with-the-jnu-hunger-strikers-at-freedom-square … via  #standwithjnu,23.85,15.89,45,24,236,0
930,sme_931,tt india 09:04 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#जयहिन्द 5.#iplauction 6.rega jha 7.ireland 8.congrats team india 9.windies 10.giroud,NAG,tt india 09:04 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#जयहिन्द 5.#iplauction 6.rega jha 7.ireland 8.congrats team india 9.windies 10.giroud,47.83,10.56,27,16,140,2
931,sme_932,"big up swapnil_doriya http://t.co/pncvy4p8ac for your post "" #copied #worldcup #indvsuae #wewantitback #goindia",NAG,"big up swapnil_doriya  for your post "" #copied #worldcup #indvsuae #wewantitback #goindia",18.41,13.67,25,12,111,2
932,sme_933,after Kanhaiya another rbloody drama ... #ShutDownJNU https:// twitter.com/MsSantoesha/st atus/790245293606461440 …,OAG,after kanhaiya another rbloody drama ... #shutdownjnu https:// twitter.com/mssantoesha/st atus/790245293606461440 …,10.56,14.27,22,10,115,1
933,sme_934,tt mobile in @ttmobile_in: tt india 12:24 1.#ausvnz 2.#nzvaus 3.#superbudget 4.#indvsuae 5.#sabkabudget 6.star... http://t.co/9aseeiyxvu,NAG,tt mobile in : tt india 12:24 1.#ausvnz 2.#nzvaus 3.#superbudget 4.#indvsuae 5.#sabkabudget 6.star... ,29.47,12.63,27,14,136,2
934,sme_935,@russelarnold69 namma match ku commentary pannaleiya #indvspak,NAG, namma match ku commentary pannaleiya #indvspak,6.36,14.11,16,7,62,2
935,sme_936,"* dressing room * mauka mauka, mauka mauka ~ india team to rohit sharma #indvsuae",NAG,"* dressing room * mauka mauka, mauka mauka ~ india team to rohit sharma #indvsuae",11.36,14.66,26,12,81,2
936,sme_937,@vennelakishore bhayya good afternoon!!! hoohoo #indvsuae first wicket loss☺️☺️ #cwc15 #umeshyadav 👌👌👌,NAG, bhayya good afternoon!!! hoohoo #indvsuae first wicket loss☺️☺️ #cwc15 #umeshyadav 👌👌👌,46.61,9.74,21,12,102,2
937,sme_938,waiting for new #maukamauka advt @starsportsindia #cwc2015 #indvsuae,NAG,waiting for new #maukamauka advt  #cwc2015 #indvsuae,18.94,12.61,17,8,68,2
938,sme_939,"im glad imrank sahb didnt make naya pakistan wrna it wud have gone lyk this on indvspak match haray ga naya pakistan,haray ga naya pakistan",NAG,"im glad imrank sahb didnt make naya pakistan wrna it wud have gone lyk this on indvspak match haray ga naya pakistan,haray ga naya pakistan",63.02,10.68,35,25,139,2
939,sme_940,सब दिख रहा है। और ये सब बहुत जल्दी हो गया। अब चाटोगे बेटा लिख लियो। #ShutDownJNU,CAG,सब दिख रहा है। और ये सब बहुत जल्दी हो गया। अब चाटोगे बेटा लिख लियो। #shutdownjnu,95.03,4.23,19,17,80,0
940,sme_941,"#ShutDownJNU For @TimesNow students chanting afzal guru is dissident""?? Os this an option? Shame! https:// twitter.com/TimesNow/statu s/697403553107697665 …""",CAG,"#shutdownjnu for  students chanting afzal guru is dissident""?? os this an option? shame! https:// twitter.com/timesnow/statu s/697403553107697665 …""",38.17,12.41,32,18,157,0
941,sme_942,#ShutDownJNU Goes Viral: People demand Govt. to Shut Down anti-national JNU http:// fb.me/7EHIgU3QW,CAG,#shutdownjnu goes viral: people demand govt. to shut down anti-national jnu http:// fb.me/7ehigu3qw,43.96,10.36,23,13,99,0
942,sme_943,heat map of tweets indvspak #cwc15 amazing http://t.co/d6elymlkis,NAG,heat map of tweets indvspak #cwc15 amazing ,40.09,9.66,15,8,65,2
943,sme_944,"finally, time to move on to the other game. #indvsuae #cwc15",NAG,"finally, time to move on to the other game. #indvsuae #cwc15",64.92,6.94,17,11,60,2
944,sme_945,#ShutDownJNU trending worldwide at no.5 bhakt power,CAG,#shutdownjnu trending worldwide at no.5 bhakt power,54.7,7.37,12,7,51,0
945,sme_946,"dear pakistan, ab diwali me hi bajana patake #indvspak",CAG,"dear pakistan, ab diwali me hi bajana patake #indvspak",56.7,7.59,15,9,54,0
946,sme_947,"rt @smaaashlive: all the questions are individual #contest, winners will be announced after every question. #cwc15 #indvsuae",NAG,"rt : all the questions are individual #contest, winners will be announced after every question. #cwc15 #indvsuae",30.33,13.25,32,17,124,2
947,sme_948,mouka mouka to see @ipoonampandey 2morow again #indvsuae,NAG,mouka mouka to see  2morow again #indvsuae,40.09,9.66,15,8,56,2
948,sme_949,"JNUTA Relay Hunger Strike, Day II #StandWithJNU http:// fb.me/7MDL0baev",NAG,"jnuta relay hunger strike, day ii #standwithjnu http:// fb.me/7mdl0baev",66.1,6.28,14,9,71,2
949,sme_950,"miss you sehwag n yuvi :""( chak de india #indvspak #indwins",NAG,"miss you sehwag n yuvi :""( chak de india #indvspak #indwins",35.95,10.73,19,10,59,2
950,sme_951,both delhi batsmen making 100. aap bhakts: kejriwal revolution. #indvspak #copy.,NAG,both delhi batsmen making 100. aap bhakts: kejriwal revolution. #indvspak #copy.,11.09,14.45,24,11,80,2
951,sme_952,Exactly. #ShutdownJNU https:// twitter.com/suryahsg/statu s/786389357305311232 …,NAG,exactly. #shutdownjnu https:// twitter.com/suryahsg/statu s/786389357305311232 …,3.34,14.28,14,6,80,2
952,sme_953,"Q. How to burn water ? A. Take water in a pot, heat until it all become vapour .... and wait for Next Mansoon. #shutdownJNU",NAG,"q. how to burn water ? a. take water in a pot, heat until it all become vapour .... and wait for next mansoon. #shutdownjnu",65.79,9.8,32,23,123,2
953,sme_954,#ShutDownJNU #JNURow Stop all subsidies given to these morons and shutdown this den of terror called #JNU ... 4/n,CAG,#shutdownjnu #jnurow stop all subsidies given to these morons and shutdown this den of terror called #jnu ... 4/n,61.67,9.13,27,18,113,0
954,sme_955,#ShutDownJNU what a prejudice! Shut this university and change the organisation altogether.. Line up with some reputed university,OAG,#shutdownjnu what a prejudice! shut this university and change the organisation altogether.. line up with some reputed university,14.67,15.69,37,18,129,1
955,sme_956,We are d country whr we give milk to poisonous snakes and fight for their mercy petition on tax payers money. #flashpointafzal #ShutDownJNU,OAG,we are d country whr we give milk to poisonous snakes and fight for their mercy petition on tax payers money. #flashpointafzal #shutdownjnu,62.11,10.31,33,23,139,1
956,sme_957,chalo ek excuse already milgaya pakistan ko #3rdumpire #sourloosers #pak #indvspak #wewillbringitback,NAG,chalo ek excuse already milgaya pakistan ko #3rdumpire #sourloosers #pak #indvspak #wewillbringitback,4.31,15.64,27,12,101,2
957,sme_958,They partitioned your country.They screwed Kashmir & Now they are giving anti India slogans in your country's capital.Wake up! #ShutDownJNU,OAG,they partitioned your country.they screwed kashmir & now they are giving anti india slogans in your country's capital.wake up! #shutdownjnu,31.71,13.56,35,19,139,1
